invoice_id,first_name,last_name,state,rank_by_state,zip,check_in,bedrooms,weekly_rate,rent_discount,total_sale,sum_total,parking,mgmt_discount,pool_access,repeat_customer,year,currency,address,city,county,customer_phone,personal_email,customer_id
732-782-6701,Dannie,Henderson,NJ,16.5,8812,2021-4-12,2,930,0.85,5500,7220.5,True,True,True,True,2021,USD,457 Ralph Ct,Dunellen,Middlesex,732-924-7882,henderson_dan@yahoo.com,A00034
212-753-2740,Jarvis,York,NY,4.5,10025,2021-8-9,2,1400,0.0,6500,7900.0,True,False,True,False,2021,USD,2742 Distribution Way,New York,New York,212-860-1579,york_jarvis@gmail.com,A00035
440-579-7763,Emma,Werner,CA,37.0,90006,2021-4-7,1,970,0.0,3500,4470.0,False,False,False,True,2021,USD,2771 W Pico Blvd,Los Angeles,Los Angeles,440-780-8425,wer_emma@hpt.net,A00014
504-265-8174,Whitney,Washington,LA,5.5,70002,2021-5-29,1,760,0.0,4500,5260.0,False,False,True,True,2021,USD,426 Wolf St,Metairie,Jefferson,504-979-9175,whitney_washington@hotmail.com,A00036
212-569-4233,Kenton,Carlson,NY,14.0,10011,2021-9-2,2,1180,0.85,3500,5683.0,True,True,True,False,2021,USD,128 Bransten Rd,New York,New York,212-675-8570,kentonca@yahoo.com,A00037
805-609-1531,Lela,Barry,CA,16.5,93012,2021-5-27,1,1390,0.0,2500,3890.0,True,False,False,True,2021,USD,617 Morena Blvd,Camarillo,Ventura,805-832-6163,lela.barry@aol.com,A00038
210-300-6244,Valentine,Stanton,TX,20.5,78204,2021-10-8,2,1160,0.0,4500,5660.0,True,False,True,True,2021,USD,775 W 17th St,San Antonio,Bexar,210-812-9597,valentines@gmail.com,A00039
785-219-7724,Kati,Burch,KS,6.5,67410,2021-10-18,2,950,0.0,4500,5450.0,False,False,False,False,2021,USD,6980 Dorsett Rd,Abilene,Dickinson,785-463-7829,kati.bu@hotmail.com,A00040
541-993-2611,Youlanda,Schemmer,OR,5.5,97754,2021-2-6,1,560,0.85,3500,4536.0,True,True,False,False,2021,USD,2881 Lewis Rd,Prineville,Crook,541-548-8197,youlanda@aol.com,A00041
913-645-8918,Dyan,Oldroyd,KS,1.5,66204,2021-5-2,1,1380,0.0,2500,3880.0,True,False,False,False,2021,USD,7219 Woodfield Rd,Overland Park,Johnson,913-413-4604,doldroyd@aol.com,A00042
907-335-6568,Roxane,Campain,AK,1.5,99708,2021-1-22,3,1170,0.0,3500,4670.0,True,False,True,False,2021,USD,1048 Main St,Fairbanks,North Star,907-231-4722,campain_r@hotmail.com,A00043
305-995-2078,Lavera,Perin,FL,43.5,33196,2021-7-11,2,700,0.0,3500,4200.0,True,False,True,True,2021,USD,678 3rd Ave,Miami,Miami-Dade,305-606-7291,lperin@perin.org,A00044
907-227-6777,Erick,Ferencz,AK,7.5,99712,2021-2-22,3,820,0.85,2500,4017.0,False,True,False,True,2021,USD,920 S Babcock St,Fairbanks,North Star,907-741-1044,campain@aol.com,A00045
952-479-2375,Fatima,Saylors,MN,1.5,55343,2021-7-4,2,1430,0.85,2500,5145.5,True,True,False,False,2021,USD,743 Lighthouse Ave,Hopkins,Hennepin,952-768-2416,fsaylors@saylors.org,A00046
617-997-5771,Jina,Briddick,MA,9.5,2128,2021-3-12,2,560,0.0,4500,5060.0,True,False,True,False,2021,USD,8938 Park Blvd,Boston,Suffolk,617-399-5124,jina_briddick@briddick.com,A00047
323-315-7314,Kanisha,Waycott,CA,27.0,90006,2021-7-11,3,1160,0.0,3500,4660.0,True,False,True,True,2021,USD,Tomahawk Dr,Los Angeles,Los Angeles,323-453-2780,kanisha_waycott@yahoo.com,A00048
608-658-7940,Emerson,Bowley,WI,5.5,53711,2021-2-19,2,1050,0.0,2500,3550.0,True,False,True,False,2021,USD,762 S Main St,Madison,Dane,608-336-7444,emerson.bowley@bowley.org,A00049
215-794-4519,Blair,Malet,PA,17.0,19132,2021-7-21,1,1020,0.0,6500,7520.0,True,False,True,False,2021,USD,209 Decker Dr,Philadelphia,Philadelphia,215-907-9111,bmalet@yahoo.com8,A00050
212-617-5063,Brock,Bolognia,NY,35.5,10003,2021-1-9,3,710,0.0,5500,6210.0,True,False,True,True,2021,USD,4486 East Coast St,New York,New York,212-402-9216,bbolognia@yahoo.com,A00051
931-303-6041,Lorrie,Nestle,TN,2.5,37388,2021-9-19,3,1120,0.85,6500,8572.0,True,True,True,True,2021,USD,39 S 7th St,Tullahoma,Coffee,931-875-6644,lnestle@hotmail.com,A00052
803-681-3678,Sabra,Uyetake,SC,2.5,29201,2021-11-15,1,1040,0.0,6500,7540.0,True,False,False,True,2021,USD,8839 Hawthorne Blvd,Columbia,Richland,803-925-5213,sabra@uyetake.org,A00053
610-379-7125,Marjory,Mastella,PA,13.5,19087,2021-4-24,1,1150,0.85,3500,5627.5,True,True,False,False,2021,USD,971 San Mateo Ave,Wayne,Delaware,610-814-5533,mmastella@mastella.com,A00054
908-470-4661,Karl,Klonowski,NJ,35.5,8822,2021-6-3,1,610,0.0,4500,5110.0,False,False,False,True,2021,USD,76 Brooks St,Flemington,Hunterdon,908-877-6135,karl_klonowski@yahoo.com,A00055
516-333-4861,Tonette,Wenner,NY,33.5,11590,2021-4-27,2,730,0.0,5500,6230.0,False,False,False,True,2021,USD,4545 Courthouse Rd,Westbury,Nassau,516-968-6051,twenner@aol.com,A00056
215-329-6386,Amber,Monarrez,PA,7.5,19046,2021-4-2,3,1420,0.0,3500,4920.0,True,False,False,True,2021,USD,1928 Foster Ave,Jenkintown,Montgomery,215-934-8655,amber_monarrez@monarrez.org,A00057
818-749-8650,Shenika,Seewald,CA,56.5,91405,2021-4-2,2,720,0.85,4500,5832.0,False,True,False,True,2021,USD,78 Otis St,Van Nuys,Los Angeles,818-423-4007,shenika@gmail.com,A00058
401-559-8961,Arthur,Thomas,RI,1.5,2909,2021-3-3,2,920,0.85,3500,5202.0,True,True,True,True,2021,USD,6589 S 16th St,Providence,Providence,401-458-2547,arthur_thomas@hotmail.com,A00059
215-417-9563,George,Carter,PA,23.5,19006,2021-4-19,1,840,0.85,6500,8054.0,True,True,True,False,2021,USD,1430 Pennsylvania Ave,Huntingdon Valley,Montgomery,215-211-9589,george_carter@gmail.com,A00060
401-300-8122,Oliver,Gray,RI,3.5,2904,2021-4-11,3,860,0.0,2500,3360.0,True,False,True,True,2021,USD,201 Hawk Ct,Providence,Providence,401-960-8259,oliver.gray@aol.com,A00061
732-904-2931,Jamal,Schultz,NJ,22.0,8831,2021-5-4,2,890,0.0,4500,5390.0,False,False,True,True,2021,USD,3075 Sw 152nd Ter,Monroe Township,Middlesex,732-234-1546,jamalsc@vanausdal.org,A00062
512-861-3814,Cecily,Hollack,TX,31.5,78731,2021-8-3,3,920,0.0,3500,4420.0,False,False,True,True,2021,USD,859 N Groesbeck Hwy,Austin,Travis,512-486-3817,cecily@hollack.org,A00063
303-874-5160,Carmelina,Lindall,CO,6.5,80126,2021-11-27,3,770,0.0,6500,7270.0,False,False,True,True,2021,USD,2664 Lewis Rd,Littleton,Douglas,303-724-7371,carmelina_lindall@lindall.com,A00064
414-573-7719,Maurine,Yglesias,WI,2.5,53214,2021-9-4,3,1180,0.0,2500,3680.0,True,False,True,False,2021,USD,59 Shardy Ln,Milwaukee,Milwaukee,414-748-1374,maurine_yglesias@yglesias.com,A00065
212-462-9157,Tawna,Buvens,NY,7.5,10009,2021-8-13,1,1380,0.0,6500,7880.0,True,False,True,True,2021,USD,3305 Nabell Ave,New York,New York,212-674-9610,tawna@gmail.com,A00066
907-873-2882,Penney,Weight,AK,5.5,99515,2021-5-15,1,890,0.0,5500,6390.0,True,False,True,False,2021,USD,18 Fountain St,Anchorage,Anchorage,907-797-9628,penney_weight@aol.com,A00067
814-420-3553,Elly,Morocco,PA,19.5,16502,2021-3-24,1,950,0.85,5500,7257.5,True,True,False,False,2021,USD,97 W 32nd St,Erie,Erie,814-393-5571,elly_morocco@gmail.com,A00068
410-937-4543,Ilene,Robinson,MD,14.5,21215,2021-2-8,1,700,0.0,6500,7200.0,True,False,False,True,2021,USD,2853 Kains Ave,Baltimore,Baltimore City,410-914-9018,robinsonil@ hotmail.com,A00069
208-737-8439,Vallie,Mondella,ID,2.5,83707,2021-7-21,1,1410,0.0,3500,4910.0,True,False,True,True,2021,USD,74 W College St,Boise,Ada,208-862-5339,vmondella@mondella.com,A00070
415-604-7609,Kallie,Blackwood,CA,3.5,94104,2021-7-20,2,1490,0.0,6500,7990.0,True,False,True,False,2021,USD,701 S Harrison Rd,San Francisco,San Francisco,415-315-2761,kallie.blackwood@gmail.com,A00071
919-715-3791,Johnetta,Abdallah,NC,10.5,27514,2021-7-14,3,1040,0.85,4500,6424.0,True,True,False,False,2021,USD,1088 Pinehurst St,Chapel Hill,Orange,919-225-9345,johnetta_abdallah@aol.com,A00072
650-811-9032,Bobbye,Smits,CA,39.5,94070,2021-2-21,3,940,0.0,2500,3440.0,False,False,False,False,2021,USD,30 W 80th St #1995,San Carlos,San Mateo,650-528-5783,bobbye.s@yahoo.com,A00073
925-522-779,Micaela,Rhymes,CA,56.5,94520,2021-4-3,1,720,0.0,5500,6220.0,True,False,True,False,2021,USD,932 Hedley St,Concord,Contra Costa,925-647-3298,rhymes@gmail.com,A00074
456-794-4519,Jim,Malet,PA,29.5,19132,2021-11-17,2,640,0.85,2500,3684.0,False,True,False,False,2021,USD,309 Decker Dr,Philadelphia,Philadelphia,456-907-9111,jim_malet@yahoo.com,A00075
740-526-5410,Tamar,Hoogland,OH,14.5,43140,2021-3-14,2,640,0.0,4500,5140.0,False,False,True,True,2021,USD,2737 Pistorio Rd #9230,London,Madison,740-343-8575,tamar@hotmail.com,A00076
585-498-4278,Luna,Ambelang,NY,22.5,14895,2021-3-4,1,1030,0.0,3500,4530.0,True,False,True,True,2021,USD,4989 Brandon St,Wellsville,Allegany,585-866-8313,luna_amb@yahoo.com,A00077
410-957-6903,Laurel,Reitler,MD,16.5,21215,2021-8-17,1,640,0.0,5500,6140.0,False,False,False,False,2021,USD,984 Kains Ave,Baltimore,Baltimore City,410-520-4832,laurel_reitler@reitler.com,A00078
973-847-9611,Delisa,Crupi,NJ,32.5,7105,2021-9-15,1,660,0.0,6500,7160.0,True,False,True,True,2021,USD,7565 W Grand Ave,Newark,Essex,973-354-2040,delisa.crupi@crupi.com,A00079
773-352-3437,Viva,Toelkes,IL,3.0,60647,2021-11-9,3,1420,0.85,2500,5127.0,True,True,True,True,2021,USD,4284 Dorigo Ln,Chicago,Cook,773-446-5569,viva.toelkes@gmail.com,A00080
973-796-3667,Elza,Lipke,NJ,19.0,7104,2021-5-18,3,910,0.0,4500,5410.0,False,False,True,False,2021,USD,6794 Lake Dr E,Newark,Essex,973-927-3447,elza@yahoo.com,A00081
505-950-1763,Devorah,Garrison,NM,3.5,88101,2021-8-7,1,690,0.85,6500,7776.5,False,True,True,True,2021,USD,31 Douglas Blvd #950,Clovis,Curry,505-975-8559,devorah@hotmail.com,A00082
718-654-7063,Timothy,Mulqueen,NY,37.5,10309,2021-4-29,3,690,0.0,4500,5190.0,True,False,True,True,2021,USD,44 W 4th St,Staten Island,Richmond,718-332-6527,timothy_mulqueen@mulqueen.org,A00083
904-514-9918,Arlette,Honeywell,FL,3.0,32254,2021-10-10,1,1470,0.0,4500,5970.0,True,False,False,True,2021,USD,11279 Loytan St,Jacksonville,Duval,904-775-4480,ahoneywell@honeywell.com,A00084
510-901-7640,Dominque,Dickerson,CA,30.0,94545,2021-5-9,3,1140,0.0,2500,3640.0,True,False,True,True,2021,USD,69 Marquette Ave,Hayward,Alameda,510-993-3758,dominque.dickerson@dickerson.org,A00085
216-733-8494,Lettie,Isenhower,OH,10.5,44122,2021-4-9,3,700,0.0,6500,7200.0,True,False,True,False,2021,USD,70 W Main St,Beachwood,Cuyahoga,216-657-7668,lettie_isenhower@yahoo.com,A00086
817-451-3518,Myra,Munns,TX,26.5,76040,2021-7-20,1,1000,0.0,2500,3500.0,True,False,False,False,2021,USD,461 Prospect Pl #316,Euless,Tarrant,817-914-7518,mmunns@cox.net,A00087
310-968-1219,Stephaine,Barfield,CA,62.5,90247,2021-8-14,2,650,0.0,4500,5150.0,False,False,True,True,2021,USD,47154 Whipple Ave Nw,Gardena,Los Angeles,310-774-7643,stephaine@barfield.com,A00088
847-957-4614,Lai,Gato,IL,7.5,60201,2021-6-26,3,1100,0.85,4500,6535.0,True,True,False,True,2021,USD,37 Alabama Ave,Evanston,Cook,847-728-7286,lai.gato@gato.org,A00089
330-700-2312,Stephen,Emigh,OH,1.5,44302,2021-4-16,1,1450,0.0,4500,5950.0,True,False,False,True,2021,USD,3777 E Richmond St #900,Akron,Summit,330-537-5358,stephen_emigh@hotmail.com,A00090
215-228-8264,Tyra,Shields,PA,5.5,19106,2021-9-25,2,1450,0.0,5500,6950.0,True,False,False,True,2021,USD,562 Fort Worth Ave,Philadelphia,Philadelphia,215-255-1641,tshields@gmail.com,A00091
650-216-5075,Tammara,Wardrip,CA,3.5,94010,2021-2-18,2,1490,0.0,5500,6990.0,True,False,False,False,2021,USD,4800 Black Horse Pike,Burlingame,San Mateo,650-803-1936,twardrip@cox.net,A00092
626-696-2777,Cory,Gibes,CA,51.5,91776,2021-5-13,1,770,0.0,4500,5270.0,True,False,True,False,2021,USD,836 W Belmont Ave,San Gabriel,Los Angeles,626-572-1096,cory_gibes@gmail.com,A00093
254-205-1422,Danica,Bruschke,TX,11.5,76708,2021-8-18,1,1300,0.0,2500,3800.0,True,False,False,False,2021,USD,840 15th Ave,Waco,McLennan,254-782-8569,danica_bruschke@gmail.com,A00094
907-914-9482,Wilda,Giguere,AK,3.5,99501,2021-4-17,1,1140,0.85,5500,7609.0,True,True,False,True,2021,USD,1747 Calle Amanecer #2,Anchorage,Anchorage,907-870-5536,wilda@cox.net,A00095
408-440-8447,Elvera,Benimadho,CA,11.5,95110,2021-4-5,1,1420,0.0,5500,6920.0,True,False,False,True,2021,USD,9385 Charity St #840,San Jose,Santa Clara,408-703-8505,elvera.benimadho@cox.net,A00096
510-452-4835,Carma,Vanheusen,CA,8.5,94577,2021-2-8,1,1430,0.0,6500,7930.0,True,False,False,False,2021,USD,8556 Central Hwy,San Leandro,Alameda,510-503-7169,carma@cox.net,A00097
317-472-2412,Malinda,Hochard,IN,1.5,46202,2021-7-22,3,1310,0.0,5500,6810.0,True,False,True,False,2021,USD,955 Riverside Ave,Indianapolis,Marion,317-722-5066,malinda.hochard@yahoo.com,A00098
307-279-3793,Natalie,Fern,WY,2.5,82901,2021-3-10,1,1090,0.85,5500,7516.5,True,True,False,False,2021,USD,7140 University Ave,Rock Springs,Sweetwater,307-704-8713,natalie.fern@hotmail.com,A00099
703-475-7568,Lisha,Centini,VA,2.5,22102,2021-4-5,3,1120,0.0,5500,6620.0,True,False,True,True,2021,USD,64 5th Ave #1153,Mc Lean,Fairfax,703-235-3937,lisha@centini.org,A00100
504-946-1807,Arlene,Klusman,LA,1.5,70112,2021-3-21,2,1440,0.85,5500,8164.0,True,True,False,False,2021,USD,483 Secor Rd,New Orleans,Orleans,504-710-5840,arlene_klusman@gmail.com,A00101
303-521-9860,Alease,Buemi,CO,3.0,80303,2021-11-23,3,1300,0.0,3500,4800.0,True,False,False,False,2021,USD,952 Webbs Chapel Rd,Boulder,Boulder,303-301-4946,alease@buemi.com,A00102
510-472-7758,Louisa,Cronauer,CA,42.0,94577,2021-6-19,1,930,0.0,4500,5430.0,True,False,True,True,2021,USD,524 Louisiana Ave Nw,San Leandro,Alameda,510-828-7047,louisa@cronauer.com,A00103
808-475-2310,Angella,Cetta,HI,5.5,96817,2021-3-10,2,690,0.0,5500,6190.0,True,False,True,True,2021,USD,185 Blackstone Bldge,Honolulu,Honolulu,808-892-7943,angella.cetta@hotmail.com,A00104
952-938-9457,Cyndy,Goldammer,MN,5.5,55337,2021-9-15,3,1150,0.85,3500,5627.5,True,True,True,True,2021,USD,170 Wyoming Ave,Burnsville,Dakota,952-334-9408,cgoldammer@cox.net,A00105
336-497-4407,Rosio,Cork,NC,7.5,27263,2021-11-20,3,1270,0.0,4500,5770.0,True,False,True,True,2021,USD,10th St W,High Point,Guilford,336-243-5659,rosio.cork@gmail.com,A00106
516-365-7266,Celeste,Korando,NY,29.0,11563,2021-3-25,1,920,0.0,4500,5420.0,False,False,False,True,2021,USD,854 W Pinhook Rd,Lynbrook,Nassau,516-509-2347,ckorando@hotmail.com,A00107
503-909-7167,Twana,Felger,OR,7.5,97224,2021-2-18,3,540,0.0,2500,3040.0,True,False,True,False,2021,USD,274 Commerce Way,Portland,Washington,503-939-3153,twana.felger@felger.org,A00108
608-942-8836,Estrella,Samu,WI,7.5,53511,2021-5-1,2,960,0.0,4500,5460.0,True,False,False,False,2021,USD,64 Lakeview Ave,Beloit,Rock,608-976-7199,estrella@aol.com,A00109
508-843-1426,Donte,Kines,MA,6.5,1602,2021-6-6,3,890,0.0,3500,4390.0,False,False,True,False,2021,USD,764 Aspen St,Worcester,Worcester,508-429-8576,dkines@hotmail.com,A00110
305-304-6573,Tiffiny,Steffens,FL,36.5,33133,2021-11-21,2,840,0.85,5500,7054.0,True,True,True,False,2021,USD,32860 Sierra Rd,Miami,Miami-Dade,305-385-9695,tiffiny_steffens@cox.net,A00111
814-299-2877,Edna,Micel,PA,26.5,16502,2021-5-23,1,740,0.0,2500,3240.0,False,False,False,True,2021,USD,555 Main St,Erie,Erie,814-460-2655,emiceli@miceli.org,A00112
972-742-4000,Sue,Kownacki,TX,23.0,75149,2021-8-19,1,1100,0.0,5500,6600.0,True,False,False,True,2021,USD,654 Se 3rd Ave,Mesquite,Dallas,972-666-3413,sue.kow@aol.com,A00113
931-739-1551,Jenna,Shin,MO,10.5,63103,2021-8-18,1,700,0.85,6500,7795.0,True,True,False,False,2021,USD,1415 Olive St,Saint Louis,Saint Louis,931-273-8709,jenna_shin@shin.com,A00114
973-284-4048,Rolland,Francescon,NJ,2.5,7501,2021-8-29,1,1490,0.85,6500,9256.5,True,True,True,False,2021,USD,2726 Charcot Ave,Paterson,Passaic,973-649-2922,rolland@cox.net,A00115
305-575-8481,Pamella,Schmierer,FL,3.0,33030,2021-2-16,3,1470,0.0,4500,5970.0,True,False,False,False,2021,USD,5161 Dorsett Rd,Homestead,Miami-Dade,305-420-8970,pamella.schmierer@scr.org,A00116
410-916-8015,Glory,Kulzer,MD,5.5,21117,2021-11-18,2,1200,0.85,3500,5720.0,True,True,False,False,2021,USD,55892 Jacksonville Rd,Owings Mills,Baltimore,410-224-9462,gkulzer@kulzer.org,A00117
805-638-6617,Shawna,Palaspas,CA,14.0,91362,2021-1-10,1,1410,0.0,2500,3910.0,True,False,True,False,2021,USD,732 N Cleveland Massillon Rd,Thousand Oaks,Ventura,805-275-3566,shawna_palaspas@hotmail.com,A00118
808-240-5168,Brandon,Callaro,HI,3.5,96819,2021-5-6,1,830,0.0,6500,7330.0,True,False,False,True,2021,USD,964 Benton Dr,Honolulu,Honolulu,808-215-6832,brandon_callaro@hotmail.com,A00119
229-365-9658,Scarlet,Cartan,GA,1.5,31701,2021-4-22,3,1450,0.0,5500,6950.0,True,False,False,True,2021,USD,939 S Howell Ave,Albany,Dougherty,229-735-3378,scarlet_cartan@yahoo.com,A00120
617-697-6024,Oretha,Menter,MA,2.5,2210,2021-6-10,3,1090,0.0,4500,5590.0,True,False,False,True,2021,USD,835 County Center Dr #647,Boston,Suffolk,617-418-5043,oretha_menter@yahoo.com,A00121
201-995-3149,Tessa,Smith,NJ,28.5,7601,2021-4-15,3,690,0.85,4500,5776.5,False,True,False,True,2021,USD,4646 Kaahumanu St,Hackensack,Bergen,201-672-1553,tsmith@aol.com,A00122
650-247-2625,Xuan,Rochin,CA,19.5,94403,2021-1-25,1,1370,0.0,3500,4870.0,True,False,False,False,2021,USD,840 Monroe St,San Mateo,San Mateo,650-933-5072,xuan@gmail.com,A00123
909-589-1693,Lindsey,Dilello,CA,60.5,91761,2021-6-8,1,660,0.0,3500,4160.0,False,False,False,False,2021,USD,2777 Leaders Heights Rd,Ontario,San Bernardino,909-639-9887,lindsey.dilello@hotmail.com,A00124
510-755-9274,Devora,Perez,CA,44.0,94606,2021-8-10,3,920,0.85,5500,7202.0,False,True,False,False,2021,USD,2868 Blackington Ave,Oakland,Alameda,510-955-3016,devora_perez@perez.org,A00125
