customer_id,First_Name,last_name,address,City,county,state,ZIP,customer_phone,Fax_Number, Customer_Email,Rental_ID,Weekly_Rate,Parking,Pool_Access,Repeat_Customer,Bedrooms,MGMT_Discount,Date
A00013,Sonia,Jarvis,9850 W Cheyenne Ave,Las Vegas,Clark,NV,89129,310-498-5651,310-254-3084,sonia.jar@aol.com,98,830,True,False,False,1,False,2021-8-25
A00014,Emma,Werner,2771 W Pico Blvd,Los Angeles,Los Angeles,CA,90006,440-780-8425,440-579-7763,wer_emma@hpt.net,45,970,False,False,True,1,False,2021-4-7
A00015,Zachary,Mcgrath,201 Poplar Ave,Memphis,Shelby,TN,38103,956-537-6195,956-841-7216,zacharym@gmail.com,23,500,True,True,True,2,False,2021-7-28
A00016,Jay,Mcclain,1881 NW 7th St,Miami,Miami-Dade,FL,33125,602-277-4385,602-953-6360,jay.mcciain@aol.com,87,1190,True,False,False,2,False,2021-11-9
A00017,Tyree,Mays,217 E 49th St,New York,New York,NY,10017,931-313-9635,931-235-7959,mayst@hotmail.com,23,1160,True,True,False,1,False,2021-4-1
A00018,Wendy,Rogers,811 E Westfield Blvd,Indianapolis,Marion,IN,46220,414-661-9598,414-377-2880,rogersw@rim.org,32,1230,True,True,False,2,False,2021-3-9
A00019,Rod,Harper,2645 Brooklyn Ave,Kansas City,Jackson,MO,64127,313-288-7937,313-341-4470,harper_rod@aol.com,32,1090,True,True,False,1,False,2021-9-11
A00020,Lloyd,Potter,3505 S Valley View Blvd,Las Vegas,Clark,NV,89103,815-828-2147,815-426-5657,potterl@yahoo.com,23,1120,True,True,True,1,False,2021-11-22
A00021,Kelly,Schroeder,6 S 33rd St,Aston,Delaware,PA,19014,610-545-3615,610-492-4643,kellys@hpt.net,32,900,False,True,False,3,True,2021-8-29
A00022,Lamon,Stark,378 Greenleaf Ave,San Jose,Santa Clara,CA,95111,408-540-1785,408-813-4592,starkla@aol.com,45,1010,True,True,True,3,False,2021-9-29
A00023,Manual,Stout,618 W Yakima Ave,Irving,Dallas,TX,75062,972-303-9197,972-896-4882,mstouk@hotmail.com,63,930,True,True,False,2,False,2021-11-29
A00024,Ella,Elliott,74 S Westgate St,Albany,Albany,NY,12204,518-966-7987,518-448-8982,elliott.el@yahoo.com,98,1000,True,False,True,3,False,2021-8-20
A00025,Bruce,Jefferson,3273 State St,Middlesex,Middlesex,NJ,08846,732-658-3154,732-635-3453,bruce.j@stp.edu,45,660,True,False,False,2,False,2021-5-9
A00026,Benjamin,Rivas, 276 Central Ave,Stevens Point,Portage,WI,54481,715-662-6764,715-530-9863,rivas_ben@hpt.net,32,730,False,True,False,1,False,2021-1-11
A00027,Kristine,Levine,86 Nw 66th St #8,Shawnee,Johnson,KS,66218,913-388-2079,913-899-1103,kristine@qa.org,45,1030,True,True,False,3,False,2021-10-19
A00028,Graham,Wise,923 Cedar Ave #84,Easton,Talbot,MD,21601,410-669-1642,410-235-8738,wiseg@aol.com,23,900,False,False,True,1,False,2021-11-2
A00029,Mattie,Blackwell,9099 Thorburn Ave,New York,New York,NY,10011,212-582-4976,212-934-5167,blackwell_mat@yahoo.com,23,540,False,True,True,2,False,2021-7-19
A00030,Billie,Webster,386 9th Ave N,Conroe,Montgomery,TX,77301,936-336-3951,936-597-3614,websterb@aol.com,23,1330,True,True,True,2,False,2021-5-2
A00031,Dan,Brandt,4874 Atlantic Ave,Columbus,Franklin,OH,43215,614-801-9788,614-648-3265,dan.br@hotmail.com,22,850,False,False,True,3,False,2021-1-1
A00032,Wilber,Norris,366 South Dr,Las Cruces,Dona Ana,NM,88011,505-977-3911,505-335-5293,norrisw@gmail.com,32,1240,True,False,False,3,False,2021-10-20
A00033,Casey,Leon,745 E Liberty St,Ridgefield Park,Bergen,NJ,07660,201-709-6245,201-387-9093,leonca@aol.com,63,1460,True,True,False,3,False,2021-2-4
A00034,Dannie,Henderson,457 Ralph Ct,Dunellen,Middlesex,NJ,08812,732-924-7882,732-782-6701,henderson_dan@yahoo.com,22,930,True,True,True,2,True,2021-4-12
A00035,Jarvis,York,2742 Distribution Way,New York,New York,NY,10025,212-860-1579,212-753-2740,york_jarvis@gmail.com,98,1400,True,True,False,2,False,2021-8-9
A00014,Emma,Werner,2771 W Pico Blvd,Los Angeles,Los Angeles,CA,90006,440-780-8425,440-579-7763,wer_emma@hpt.net,45,970,False,False,True,1,False,2021-4-7
A00036,Whitney,Washington,426 Wolf St,Metairie,Jefferson,LA,70002,504-979-9175,504-265-8174,whitney_washington@hotmail.com,45,760,False,True,True,1,False,2021-5-29
A00037,Kenton,Carlson,128 Bransten Rd,New York,New York,NY,10011,212-675-8570,212-569-4233,kentonca@yahoo.com,98,1180,True,True,False,2,True,2021-9-2
A00038,Lela,Barry,617 Morena Blvd,Camarillo,Ventura,CA,93012,805-832-6163,805-609-1531,lela.barry@aol.com,98,1390,True,False,True,1,False,2021-5-27
A00039,Valentine,Stanton,775 W 17th St,San Antonio,Bexar,TX,78204,210-812-9597,210-300-6244,valentines@gmail.com,23,1160,True,True,True,2,False,2021-10-8
A00040,Kati,Burch,6980 Dorsett Rd,Abilene,Dickinson,KS,67410,785-463-7829,785-219-7724,kati.bu@hotmail.com,98,950,False,False,False,2,False,2021-10-18
A00041,Youlanda,Schemmer,2881 Lewis Rd,Prineville,Crook,OR,97754,541-548-8197,541-993-2611,youlanda@aol.com,23,560,True,False,False,1,True,2021-2-6
A00042,Dyan,Oldroyd,7219 Woodfield Rd,Overland Park,Johnson,KS,66204,913-413-4604,913-645-8918,doldroyd@aol.com,98,1380,True,False,False,1,False,2021-5-2
A00043,Roxane,Campain,1048 Main St,Fairbanks,North Star,AK,99708,907-231-4722,907-335-6568,87,1170,True,True,False,3,False,2021-1-22
A00044,Lavera,Perin,678 3rd Ave,Miami,Miami-Dade,FL,33196,305-606-7291,305-995-2078,lperin@perin.org,56,700,True,True,True,2,False,2021-7-11
A00045,Erick,Ferencz,920 S Babcock St,Fairbanks,North Star,AK,99712,907-741-1044,907-227-6777,campain@aol.com,32,820,False,False,True,3,True,2021-2-22
A00046,Fatima,Saylors,743 Lighthouse Ave,Hopkins,Hennepin,MN,55343,952-768-2416,952-479-2375,fsaylors@saylors.org,56,1430,True,False,False,2,True,2021-7-4
A00047,Jina,Briddick,8938 Park Blvd,Boston,Suffolk,MA,02128,617-399-5124,617-997-5771,jina_briddick@briddick.com,22,560,True,True,False,2,False,2021-3-12
A00048,Kanisha,Waycott,Tomahawk Dr,Los Angeles,Los Angeles,CA,90006,323-453-2780,323-315-7314,kanisha_waycott@yahoo.com,32,1160,True,True,True,3,False,2021-7-11
A00049,Emerson,Bowley,762 S Main St,Madison,Dane,WI,53711,608-336-7444,608-658-7940,emerson.bowley@bowley.org,56,1050,True,True,False,2,False,2021-2-19
A00050,Blair,Malet,209 Decker Dr,Philadelphia,Philadelphia,PA,19132,215-907-9111,215-794-4519,bmalet@yahoo.com8,98,1020,True,True,False,1,False,2021-7-21
A00051,Brock,Bolognia,4486 East Coast St,New York,New York,NY,10003,212-402-9216,212-617-5063,bbolognia@yahoo.com,87,710,True,True,True,3,False,2021-1-9
A00052,Lorrie,Nestle,39 S 7th St,Tullahoma,Coffee,TN,37388,931-875-6644,931-303-6041,lnestle@hotmail.com,98,1120,True,True,True,3,True,2021-9-19
A00053,Sabra,Uyetake,8839 Hawthorne Blvd,Columbia,Richland,SC,29201,803-925-5213,803-681-3678,sabra@uyetake.org,45,1040,True,False,True,1,False,2021-11-15
A00054,Marjory,Mastella,971 San Mateo Ave,Wayne,Delaware,PA,19087,610-814-5533,610-379-7125,mmastella@mastella.com,98,1150,True,False,False,1,True,2021-4-24
A00055,Karl,Klonowski,76 Brooks St,Flemington,Hunterdon,NJ,08822,908-877-6135,908-470-4661,karl_klonowski@yahoo.com,98,610,False,False,True,1,False,2021-6-3
A00056,Tonette,Wenner,4545 Courthouse Rd,Westbury,Nassau,NY,11590,516-968-6051,516-333-4861,twenner@aol.com,56,730,False,False,True,2,False,2021-4-27
A00057,Amber,Monarrez,1928 Foster Ave,Jenkintown,Montgomery,PA,19046,215-934-8655,215-329-6386,amber_monarrez@monarrez.org,23,1420,True,False,True,3,False,2021-4-2
A00058,Shenika,Seewald,78 Otis St,Van Nuys,Los Angeles,CA,91405,818-423-4007,818-749-8650,shenika@gmail.com,98,720,False,False,True,2,True,2021-4-2
A00059,Arthur,Thomas,6589 S 16th St,Providence,Providence,RI,02909,401-458-2547,401-559-8961,arthur_thomas@hotmail.com,22,920,True,True,True,2,True,2021-3-3
A00060,George,Carter,1430 Pennsylvania Ave,Huntingdon Valley,Montgomery,PA,19006,215-211-9589,215-417-9563,george_carter@gmail.com,32,840,True,True,False,1,True,2021-4-19
A00061,Oliver,Gray,201 Hawk Ct,Providence,Providence,RI,02904,401-960-8259,401-300-8122,oliver.gray@aol.com,32,860,True,True,True,3,False,2021-4-11
A00062,Jamal,Schultz,3075 Sw 152nd Ter,Monroe Township,Middlesex,NJ,08831,732-234-1546,732-904-2931,jamalsc@vanausdal.org,87,890,False,True,True,2,False,2021-5-4
A00063,Cecily,Hollack,859 N Groesbeck Hwy,Austin,Travis,TX,78731,512-486-3817,512-861-3814,cecily@hollack.org,63,920,False,True,True,3,False,2021-8-3
A00064,Carmelina,Lindall,2664 Lewis Rd,Littleton,Douglas,CO,80126,303-724-7371,303-874-5160,carmelina_lindall@lindall.com,22,770,False,True,True,3,False,2021-11-27
A00065,Maurine,Yglesias,59 Shardy Ln,Milwaukee,Milwaukee,WI,53214,414-748-1374,414-573-7719,maurine_yglesias@yglesias.com,87,1180,True,True,False,3,False,2021-9-4
A00066,Tawna,Buvens,3305 Nabell Ave,New York,New York,NY,10009,212-674-9610,212-462-9157,tawna@gmail.com,98,1380,True,True,True,1,False,2021-8-13
A00067,Penney,Weight,18 Fountain St,Anchorage,Anchorage,AK,99515,907-797-9628,907-873-2882,penney_weight@aol.com,56,890,True,True,False,1,False,2021-5-15
A00068,Elly,Morocco,97 W 32nd St,Erie,Erie,PA,16502,814-393-5571,814-420-3553,elly_morocco@gmail.com,98,950,True,False,False,1,True,2021-3-24
A00069,Ilene,Robinson,2853 Kains Ave,Baltimore,Baltimore City,MD,21215,410-914-9018,410-937-4543,robinsonil@ hotmail.com,32,700,True,False,True,1,False,2021-2-8
A00070,Vallie,Mondella,74 W College St,Boise,Ada,ID,83707,208-862-5339,208-737-8439,vmondella@mondella.com,22,1410,True,True,True,1,False,2021-7-21
A00071,Kallie,Blackwood,701 S Harrison Rd,San Francisco,San Francisco,CA,94104,415-315-2761,415-604-7609,kallie.blackwood@gmail.com,98,1490,True,True,False,2,False,2021-7-20
A00072,Johnetta,Abdallah,1088 Pinehurst St,Chapel Hill,Orange,NC,27514,919-225-9345,919-715-3791,johnetta_abdallah@aol.com,45,1040,True,False,False,3,True,2021-7-14
A00073,Bobbye,Smits,30 W 80th St #1995,San Carlos,San Mateo,CA,94070,650-528-5783,650-811-9032,bobbye.s@yahoo.com,87,940,False,False,False,3,False,2021-2-21
A00074,Micaela,Rhymes,932 Hedley St,Concord,Contra Costa,CA,94520,925-647-3298,925-522-779,rhymes@gmail.com,87,720,True,True,False,1,False,2021-4-3
A00075,Jim,Malet,309 Decker Dr,Philadelphia,Philadelphia,PA,19132,456-907-9111,456-794-4519,jim_malet@yahoo.com,23,640,False,False,False,2,True,2021-11-17
A00076,Tamar,Hoogland,2737 Pistorio Rd #9230,London,Madison,OH,43140,740-343-8575,740-526-5410,tamar@hotmail.com,98,640,False,True,True,2,False,2021-3-14
A00077,Luna,Ambelang,4989 Brandon St,Wellsville,Allegany,NY,14895,585-866-8313,585-498-4278,luna_amb@yahoo.com,45,1030,True,True,True,1,False,2021-3-4
A00078,Laurel,Reitler,984 Kains Ave,Baltimore,Baltimore City,MD,21215,410-520-4832,410-957-6903,laurel_reitler@reitler.com,87,640,False,False,False,1,False,2021-8-17
A00079,Delisa,Crupi,7565 W Grand Ave,Newark,Essex,NJ,07105,973-354-2040,973-847-9611,delisa.crupi@crupi.com,45,660,True,True,True,1,False,2021-9-15
A00061,Oliver,Gray,201 Hawk Ct,Providence,Providence,RI,02904,401-960-8259,401-300-8122,oliver.gray@aol.com,32,860,True,True,True,3,False,2021-4-11
A00080,Viva,Toelkes,4284 Dorigo Ln,Chicago,Cook,IL,60647,773-446-5569,773-352-3437,viva.toelkes@gmail.com,56,1420,True,True,True,3,True,2021-11-9
A00081,Elza,Lipke,6794 Lake Dr E,Newark,Essex,NJ,07104,973-927-3447,973-796-3667,elza@yahoo.com,22,910,False,True,False,3,False,2021-5-18
A00082,Devorah,Garrison,31 Douglas Blvd #950,Clovis,Curry,NM,88101,505-975-8559,505-950-1763,devorah@hotmail.com,32,690,False,True,True,1,True,2021-8-7
A00083,Timothy,Mulqueen,44 W 4th St,Staten Island,Richmond,NY,10309,718-332-6527,718-654-7063,timothy_mulqueen@mulqueen.org,23,690,True,True,True,3,False,2021-4-29
A00084,Arlette,Honeywell,11279 Loytan St,Jacksonville,Duval,FL,32254,904-775-4480,904-514-9918,ahoneywell@honeywell.com,45,1470,True,False,True,1,False,2021-10-10
A00085,Dominque,Dickerson,69 Marquette Ave,Hayward,Alameda,CA,94545,510-993-3758,510-901-7640,dominque.dickerson@dickerson.org,56,1140,True,True,True,3,False,2021-5-9
A00086,Lettie,Isenhower,70 W Main St,Beachwood,Cuyahoga,OH,44122,216-657-7668,216-733-8494,lettie_isenhower@yahoo.com,22,700,True,True,False,3,False,2021-4-9
A00087,Myra,Munns,461 Prospect Pl #316,Euless,Tarrant,TX,76040,817-914-7518,817-451-3518,mmunns@cox.net,63,1000,True,False,False,1,False,2021-7-20
A00088,Stephaine,Barfield,47154 Whipple Ave Nw,Gardena,Los Angeles,CA,90247,310-774-7643,310-968-1219,stephaine@barfield.com,98,650,False,True,True,2,False,2021-8-14
A00089,Lai,Gato,37 Alabama Ave,Evanston,Cook,IL,60201,847-728-7286,847-957-4614,lai.gato@gato.org,23,1100,True,False,True,3,True,2021-6-26
A00090,Stephen,Emigh,3777 E Richmond St #900,Akron,Summit,OH,44302,330-537-5358,330-700-2312,stephen_emigh@hotmail.com,45,1450,True,False,True,1,False,2021-4-16
A00091,Tyra,Shields,562 Fort Worth Ave,Philadelphia,Philadelphia,PA,19106,215-255-1641,215-228-8264,tshields@gmail.com,56,1450,True,False,True,2,False,2021-9-25
A00092,Tammara,Wardrip,4800 Black Horse Pike,Burlingame,San Mateo,CA,94010,650-803-1936,650-216-5075,twardrip@cox.net,23,1490,True,False,False,2,False,2021-2-18
A00093,Cory,Gibes,836 W Belmont Ave,San Gabriel,Los Angeles,CA,91776,626-572-1096,626-696-2777,cory_gibes@gmail.com,32,770,True,True,False,1,False,2021-5-13
A00094,Danica,Bruschke,840 15th Ave,Waco,McLennan,TX,76708,254-782-8569,254-205-1422,danica_bruschke@gmail.com,23,1300,True,False,False,1,False,2021-8-18
A00095,Wilda,Giguere,1747 Calle Amanecer #2,Anchorage,Anchorage,AK,99501,907-870-5536,907-914-9482,wilda@cox.net,87,1140,True,False,True,1,True,2021-4-17
A00096,Elvera,Benimadho,9385 Charity St #840,San Jose,Santa Clara,CA,95110,408-703-8505,408-440-8447,elvera.benimadho@cox.net,63,1420,True,False,True,1,False,2021-4-5
A00097,Carma,Vanheusen,8556 Central Hwy,San Leandro,Alameda,CA,94577,510-503-7169,510-452-4835,carma@cox.net,98,1430,True,False,False,1,False,2021-2-8
A00098,Malinda,Hochard,955 Riverside Ave,Indianapolis,Marion,IN,46202,317-722-5066,317-472-2412,malinda.hochard@yahoo.com,98,1310,True,True,False,3,False,2021-7-22
A00099,Natalie,Fern,7140 University Ave,Rock Springs,Sweetwater,WY,82901,307-704-8713,307-279-3793,natalie.fern@hotmail.com,32,1090,True,False,False,1,True,2021-3-10
A00100,Lisha,Centini,64 5th Ave #1153,Mc Lean,Fairfax,VA,22102,703-235-3937,703-475-7568,lisha@centini.org,23,1120,True,True,True,3,False,2021-4-5
A00101,Arlene,Klusman,483 Secor Rd,New Orleans,Orleans,LA,70112,504-710-5840,504-946-1807,arlene_klusman@gmail.com,32,1440,True,False,False,2,True,2021-3-21
A00102,Alease,Buemi,952 Webbs Chapel Rd,Boulder,Boulder,CO,80303,303-301-4946,303-521-9860,alease@buemi.com,87,1300,True,False,False,3,False,2021-11-23
A00103,Louisa,Cronauer,524 Louisiana Ave Nw,San Leandro,Alameda,CA,94577,510-828-7047,510-472-7758,louisa@cronauer.com,56,930,True,True,True,1,False,2021-6-19
A00104,Angella,Cetta,185 Blackstone Bldge,Honolulu,Honolulu,HI,96817,808-892-7943,808-475-2310,angella.cetta@hotmail.com,98,690,True,True,True,2,False,2021-3-10
A00105,Cyndy,Goldammer,170 Wyoming Ave,Burnsville,Dakota,MN,55337,952-334-9408,952-938-9457,cgoldammer@cox.net,45,1150,True,True,True,3,True,2021-9-15
A00106,Rosio,Cork,10th St W,High Point,Guilford,NC,27263,336-243-5659,336-497-4407,rosio.cork@gmail.com,45,1270,True,True,True,3,False,2021-11-20
A00107,Celeste,Korando,854 W Pinhook Rd,Lynbrook,Nassau,NY,11563,516-509-2347,516-365-7266,ckorando@hotmail.com,22,920,False,False,True,1,False,2021-3-25
A00108,Twana,Felger,274 Commerce Way,Portland,Washington,OR,97224,503-939-3153,503-909-7167,twana.felger@felger.org,22,540,True,True,False,3,False,2021-2-18
A00109,Estrella,Samu,64 Lakeview Ave,Beloit,Rock,WI,53511,608-976-7199,608-942-8836,estrella@aol.com,32,960,True,False,False,2,False,2021-5-1
A00110,Donte,Kines,764 Aspen St,Worcester,Worcester,MA,01602,508-429-8576,508-843-1426,dkines@hotmail.com,98,890,False,True,False,3,False,2021-6-6
A00111,Tiffiny,Steffens,32860 Sierra Rd,Miami,Miami-Dade,FL,33133,305-385-9695,305-304-6573,tiffiny_steffens@cox.net,98,840,True,True,False,2,True,2021-11-21
A00112,Edna,Micel,555 Main St,Erie,Erie,PA,16502,814-460-2655,814-299-2877,emiceli@miceli.org,45,740,False,False,True,1,False,2021-5-23
A00113,Sue,Kownacki,654 Se 3rd Ave,Mesquite,Dallas,TX,75149,972-666-3413,972-742-4000,sue.kow@aol.com,45,1100,True,False,True,1,False,2021-8-19
A00114,Jenna,Shin,1415 Olive St,Saint Louis,Saint Louis,MO,63103,931-273-8709,931-739-1551,jenna_shin@shin.com,56,700,True,False,False,1,True,2021-8-18
A00115,Rolland,Francescon,2726 Charcot Ave,Paterson,Passaic,NJ,07501,973-649-2922,973-284-4048,rolland@cox.net,22,1490,True,True,False,1,True,2021-8-29
A00116,Pamella,Schmierer,5161 Dorsett Rd,Homestead,Miami-Dade,FL,33030,305-420-8970,305-575-8481,pamella.schmierer@scr.org,32,1470,True,False,False,3,False,2021-2-16
A00117,Glory,Kulzer,55892 Jacksonville Rd,Owings Mills,Baltimore,MD,21117,410-224-9462,410-916-8015,gkulzer@kulzer.org,22,1200,True,False,False,2,True,2021-11-18
A00118,Shawna,Palaspas,732 N Cleveland Massillon Rd,Thousand Oaks,Ventura,CA,91362,805-275-3566,805-638-6617,shawna_palaspas@hotmail.com,45,1410,True,True,False,1,False,2021-1-10
A00119,Brandon,Callaro,964 Benton Dr,Honolulu,Honolulu,HI,96819,808-215-6832,808-240-5168,brandon_callaro@hotmail.com,22,830,True,False,True,1,False,2021-5-6
A00120,Scarlet,Cartan,939 S Howell Ave,Albany,Dougherty,GA,31701,229-735-3378,229-365-9658,scarlet_cartan@yahoo.com,98,1450,True,False,True,3,False,2021-4-22
A00121,Oretha,Menter,835 County Center Dr #647,Boston,Suffolk,MA,02210,617-418-5043,617-697-6024,oretha_menter@yahoo.com,98,1090,True,False,True,3,False,2021-6-10
A00122,Tessa,Smith,4646 Kaahumanu St,Hackensack,Bergen,NJ,07601,201-672-1553,201-995-3149,tsmith@aol.com,56,690,False,False,True,3,True,2021-4-15
A00123,Xuan,Rochin,840 Monroe St,San Mateo,San Mateo,CA,94403,650-933-5072,650-247-2625,xuan@gmail.com,87,1370,True,False,False,1,False,2021-1-25
A00124,Lindsey,Dilello,2777 Leaders Heights Rd,Ontario,San Bernardino,CA,91761,909-639-9887,909-589-1693,lindsey.dilello@hotmail.com,63,660,False,False,False,1,False,2021-6-8
A00125,Devora,Perez,2868 Blackington Ave,Oakland,Alameda,CA,94606,510-955-3016,510-755-9274,devora_perez@perez.org,98,920,False,False,False,3,True,2021-8-10
A00126,Herman,Demesa,24 Norristown Rd,Troy,Rensselaer,NY,12180,518-497-2940,518-931-7852,hdemesa@cox.net,56,1030,True,False,False,2,True,2021-10-8
A00127,Rory,Pierce,83 County Road 437 #8581,Clarks Summit,Lackawanna,PA,18411,570-867-7489,570-469-8401,rpierce@cox.net,22,1470,True,True,False,2,True,2021-6-18
A00128,Talia,Ford,463 N Harlem Ave #9,Orange,Essex,NJ,07050,973-245-2133,973-818-9788,talia_ford@aol.com,23,1280,True,False,True,1,True,2021-4-29
A00129,Angelia,Shire,9131 J St,Pittstown,Hunterdon,NJ,08867,908-409-2890,908-448-1209,angelia.shire@shire.com,22,670,True,False,True,1,False,2021-4-24
A00130,Lucina,Lary,8597 W National Ave,Cocoa,Brevard,FL,32922,321-749-4981,321-632-4668,lucina_lary@cox.net,22,1210,True,False,False,1,False,2021-6-27
A00131,Bella,Isaacs,897 Gilson St,Bronx,Bronx,NY,10468,718-809-3762,718-478-8568,bella.isaacs@aol.com,45,1030,True,True,False,3,True,2021-10-17
A00132,Rory,Gibes,649 W Belmont Ave,San Gabriel,Los Angeles,CA,91776,326-572-1096,326-696-2777,rory_gibes@gmail.com,23,630,True,True,False,3,False,2021-3-3
A00133,Rolande,Spickerman,65 W Maple Ave,Pearl City,Honolulu,HI,96782,808-315-3077,808-526-5863,rolande.spickerman@aol.com,98,1140,True,False,False,1,False,2021-2-22
A00134,Howard,Paulas,866 34th Ave,Denver,Denver,CO,80231,303-623-4241,303-692-3118,hpaulas@gmail.com,63,530,True,False,True,2,True,2021-10-28
A00135,Kimbery,Madarang,798 Lund Farm Way,Rockaway,Morris,NJ,07866,973-310-1634,973-225-6259,kimbery_madarang@cox.net,56,1340,True,True,True,3,True,2021-2-14
A00136,Thurman,Manno,9387 Charcot Ave,Absecon,Atlantic,NJ,08201,609-524-3586,609-234-8376,thurman.manno@yahoo.com,45,1240,True,False,True,1,False,2021-7-2
A00137,Becky,Eldridge,30553 Washington Rd,Plainfield,Union,NJ,07062,908-877-8409,908-426-8272,becky_eldridge@mirafuentes.com,23,1450,True,False,False,1,True,2021-2-1
A00138,Beatriz,Corrington,481 W Lemon St,Middleboro,Plymouth,MA,02346,508-584-4279,508-315-3867,beatriz@yahoo.com,45,660,False,True,False,2,False,2021-2-6
A00139,Marti,Maybury,90 Warehouse Point Rd #7,Chicago,Cook,IL,60638,773-775-4522,773-539-1058,marti.maybury@yahoo.com,98,1310,True,False,True,2,True,2021-1-8
A00140,Nieves,Gotter,4940 Pulaski Park Dr,Portland,Multnomah,OR,97202,503-527-5274,503-455-3094,nieves_gotter@gmail.com,32,920,True,False,True,3,False,2021-3-5
A00141,Leatha,Hagele,627 Walford Ave,Dallas,Dallas,TX,75227,214-339-1809,214-225-5850,lhagele@cox.net,22,820,True,True,True,1,False,2021-11-14
A00142,Valentin,Klimek,137 Pioneer Way,Chicago,Cook,IL,60604,312-303-5453,312-512-2338,vklimek@klimek.org,32,530,True,True,False,1,False,2021-4-6
A00143,Melissa,Wiklund,912 Stoneridge #835,Findlay,Hancock,OH,45840,419-939-3613,419-254-4591,melissa@cox.net,23,840,True,True,True,3,False,2021-1-19
A00144,Sheridan,Zane,2409 Alabama Rd,Riverside,Riverside,CA,92501,951-645-3605,951-248-6822,sheridan.zane@zane.com,32,1290,True,False,True,1,False,2021-8-13
A00145,Kim,David,8927 Vandever Ave,Waco,McLennan,TX,76707,254-463-4368,254-816-8417,kim_david@hotmail.com,22,1280,True,False,False,1,False,2021-10-8
A00146,Audra,Kohnert,134 Lewis Rd,Nashville,Davidson,TN,37211,615-406-7854,615-448-9249,audra@kohnert.com,45,730,False,True,True,3,False,2021-5-17
A00147,Jenna,Fern,457 University Ave,Rock Springs,Sweetwater,WY,82901,345-704-8713,345-279-3793,jenna.fern@hotmail.com,22,1210,True,False,False,1,True,2021-9-28
A00148,Daren,Weirather,35 N College Ave #3,Milwaukee,Milwaukee,WI,53216,414-959-2540,414-838-3151,dweirather@aol.com,22,1170,True,True,False,2,False,2021-8-24
A00149,Fernanda,Jillson,60480 Old Us Highway 51,Preston,Caroline,MD,21655,410-387-5260,410-724-6472,fjillson@aol.com,45,1430,True,False,True,1,True,2021-5-9
A00150,Gearldine,Gellinger,39 Bloomfield Ave,Irving,Dallas,TX,75061,972-934-6914,972-821-7118,gellinger@gellinger.com,32,1100,True,False,False,1,False,2021-3-21
A00151,Chau,Kitzman,429 Tiger Ln,Beverly Hills,Los Angeles,CA,90212,310-560-8022,310-969-7230,chau@gmail.com,45,1300,True,True,True,1,False,2021-10-11
A00152,Theola,Frey,4169 N Main St,Massapequa,Nassau,NY,11758,516-948-5768,516-357-3362,theola_frey@frey.com,63,1490,True,True,False,2,False,2021-7-15
